number	path	doc_id	page	eo_id	sec
0	../data/ddrs/317475/2.txt	317475	2	13292	3.4 
1	../data/ddrs/317476/2.txt	317476	2	13526	3.5 
2	../data/ddrs/317477/2.txt	317477	2	13526	3.5 
3	../data/ddrs/317479/2.txt	317479	2	13526	3.5 
4	../data/ddrs/317482/2.txt	317482	2	13526	3.S 
5	../data/ddrs/317495/2.txt	317495	2	13292	3.5 
6	../data/ddrs/317496/2.txt	317496	2	13292	
7	../data/ddrs/317500/2.txt	317500	2	12356	
8	../data/ddrs/317501/2.txt	317501	2	12356	
9	../data/ddrs/317501/2.txt	317501	2	12958	
10	../data/ddrs/317502/2.txt	317502	2	123	
11	../data/ddrs/317503/2.txt	317503	2	12356	
12	../data/ddrs/317503/2.txt	317503	2	12958	
13	../data/ddrs/317504/2.txt	317504	2	1235	
14	../data/ddrs/317504/2.txt	317504	2	12958	
15	../data/ddrs/317505/2.txt	317505	2	12958	
16	../data/ddrs/317506/2.txt	317506	2	12958	
17	../data/ddrs/317507/2.txt	317507	2	12356	
18	../data/ddrs/317507/2.txt	317507	2	12958	
19	../data/ddrs/317508/2.txt	317508	2	12356	
20	../data/ddrs/317508/2.txt	317508	2	12958	
21	../data/ddrs/317509/2.txt	317509	2	12356	
22	../data/ddrs/317351/2.txt	317351	2	12356	
23	../data/ddrs/317366/2.txt	317366	2	13	3.3 
24	../data/ddrs/317368/2.txt	317368	2	13526	3.5 
25	../data/ddrs/317370/4.txt	317370	4	13292	3.5 
26	../data/ddrs/317382/2.txt	317382	2	12958	
27	../data/ddrs/317384/2.txt	317384	2	12958	
28	../data/ddrs/317386/2.txt	317386	2	12958	
29	../data/ddrs/317388/2.txt	317388	2	12958	
30	../data/ddrs/317395/2.txt	317395	2	1	8.3 
31	../data/ddrs/317398/2.txt	317398	2	13292	3.5 
32	../data/ddrs/317438/2.txt	317438	2	13526	3.5 
33	../data/ddrs/317439/2.txt	317439	2	135	3.5 
34	../data/ddrs/317440/2.txt	317440	2	13526	3.5 
35	../data/ddrs/317449/2.txt	317449	2	12958	
36	../data/ddrs/317450/2.txt	317450	2	123	3.3 
37	../data/ddrs/317451/2.txt	317451	2	1	
38	../data/ddrs/317457/2.txt	317457	2	12	3.6 
39	../data/ddrs/317229/2.txt	317229	2	13526	3.5 
40	../data/ddrs/317231/2.txt	317231	2	13526	3.5 
41	../data/ddrs/317239/3.txt	317239	3	12356	
42	../data/ddrs/317243/2.txt	317243	2		
43	../data/ddrs/317269/2.txt	317269	2	13292	3.4 
44	../data/ddrs/317270/2.txt	317270	2	13292	3.5 
45	../data/ddrs/317297/2.txt	317297	2	13526	3.5 
46	../data/ddrs/317302/2.txt	317302	2	13292	3. 
47	../data/ddrs/317334/2.txt	317334	2	13520	33 
48	../data/ddrs/317335/2.txt	317335	2	1352	3.3 
49	../data/ddrs/317339/2.txt	317339	2	13526	3.5 
50	../data/ddrs/317102/2.txt	317102	2	13526	3.5 
51	../data/ddrs/317102/26.txt	317102	26	13526	3.5 
52	../data/ddrs/317102/33.txt	317102	33	13526	3.5 
53	../data/ddrs/317102/5.txt	317102	5	13526	3.5 
54	../data/ddrs/317107/2.txt	317107	2	13526	3.5 
55	../data/ddrs/317120/2.txt	317120	2	11	
56	../data/ddrs/317122/2.txt	317122	2	12958	3.6 
57	../data/ddrs/317131/2.txt	317131	2	13292	3.5 
58	../data/ddrs/317133/2.txt	317133	2	1	3.3 
59	../data/ddrs/317169/2.txt	317169	2	13292	3.5 
60	../data/ddrs/317177/2.txt	317177	2	13526	3.3 
61	../data/ddrs/317182/2.txt	317182	2	12958	3.6 
62	../data/ddrs/317187/2.txt	317187	2	12958	3.6 
63	../data/ddrs/317191/2.txt	317191	2	12958	
64	../data/ddrs/317192/20.txt	317192	20	12958	
65	../data/ddrs/317192/29.txt	317192	29	12958	
66	../data/ddrs/317204/2.txt	317204	2	12958	3.6 
67	../data/ddrs/317206/2.txt	317206	2	13292	3.4 
68	../data/ddrs/317208/2.txt	317208	2	13292	3.5 
69	../data/ddrs/317209/2.txt	317209	2	13292	3.5 
70	../data/ddrs/316979/2.txt	316979	2	1258	t 3.2 
71	../data/ddrs/316982/2.txt	316982	2	12958	3.6 
72	../data/ddrs/316992/3.txt	316992	3	13523	
73	../data/ddrs/317016/2.txt	317016	2	12958	
74	../data/ddrs/317029/2.txt	317029	2	13523	3,3 
75	../data/ddrs/317030/2.txt	317030	2	13	.3 
76	../data/ddrs/317033/44.txt	317033	44		
77	../data/ddrs/317033/45.txt	317033	45		
78	../data/ddrs/317063/2.txt	317063	2	13292	3.5 
79	../data/ddrs/317070/2.txt	317070	2	13526	3.3 
80	../data/ddrs/317071/2.txt	317071	2	13526	
81	../data/ddrs/317072/2.txt	317072	2	13526	3.5 
82	../data/ddrs/317079/9.txt	317079	9		
83	../data/ddrs/316848/2.txt	316848	2	12356	tion 1.1 
84	../data/ddrs/316850/94.txt	316850	94	13292	3.4, 
85	../data/ddrs/316850/96.txt	316850	96	13292	3.4 
86	../data/ddrs/316850/97.txt	316850	97	13292	3.4 
87	../data/ddrs/316850/100.txt	316850	100	13292	3 4 
88	../data/ddrs/316850/101.txt	316850	101	13292	3.4 
89	../data/ddrs/316850/11.txt	316850	11	13292	34 
90	../data/ddrs/316850/114.txt	316850	114	13292	3.4 
91	../data/ddrs/316850/115.txt	316850	115	13292	3 
92	../data/ddrs/316850/12.txt	316850	12	13292	3.4 
93	../data/ddrs/316850/123.txt	316850	123	13292	3.4 
94	../data/ddrs/316850/127.txt	316850	127	13292	3.4 
95	../data/ddrs/316850/128.txt	316850	128	13292	3.4 
96	../data/ddrs/316850/19.txt	316850	19	13292	, 3. 
97	../data/ddrs/316850/25.txt	316850	25	33292	
98	../data/ddrs/316850/28.txt	316850	28	13292	3A 
99	../data/ddrs/316850/31.txt	316850	31	13292	3.4 
100	../data/ddrs/316850/32.txt	316850	32	13292	3.4 
101	../data/ddrs/316850/4.txt	316850	4	13292	3.4 
102	../data/ddrs/316850/54.txt	316850	54	13292	3.4 
103	../data/ddrs/316851/98.txt	316851	98	13292	3.4 
104	../data/ddrs/316851/99.txt	316851	99	13292	3.4 
105	../data/ddrs/316851/10.txt	316851	10	13526	
106	../data/ddrs/316851/115.txt	316851	115	13292	3A.4 
107	../data/ddrs/316851/116.txt	316851	116		
108	../data/ddrs/316851/122.txt	316851	122	13292	3.4 
109	../data/ddrs/316851/17.txt	316851	17	13292	34 
110	../data/ddrs/316851/28.txt	316851	28	13292	3.4 
111	../data/ddrs/316851/30.txt	316851	30	13292	34 
112	../data/ddrs/316851/32.txt	316851	32	13292	3A 
113	../data/ddrs/316851/39.txt	316851	39	13292	3.4 
114	../data/ddrs/316851/41.txt	316851	41	13292	3.4 
115	../data/ddrs/316851/43.txt	316851	43	13292	34 
116	../data/ddrs/316851/44.txt	316851	44	13292	3.4 
117	../data/ddrs/316851/45.txt	316851	45	13292	3.4 
118	../data/ddrs/316851/55.txt	316851	55	13292	3A4 
119	../data/ddrs/316851/57.txt	316851	57	13292	3 
120	../data/ddrs/316851/64.txt	316851	64	13292	3 
121	../data/ddrs/316851/66.txt	316851	66	13292	3,4 
122	../data/ddrs/316851/79.txt	316851	79	13292	3.4 
123	../data/ddrs/316851/81.txt	316851	81	13292	3 
124	../data/ddrs/316851/85.txt	316851	85	13	
125	../data/ddrs/316851/88.txt	316851	88	13292	3 
126	../data/ddrs/316851/9.txt	316851	9	13292	3.4 
127	../data/ddrs/316851/90.txt	316851	90	13292	
128	../data/ddrs/316852/11.txt	316852	11	13292	3.4 
129	../data/ddrs/316852/12.txt	316852	12	13292	3.4 
130	../data/ddrs/316852/13.txt	316852	13	13292	3.4 
131	../data/ddrs/316852/16.txt	316852	16	13292	3.5 
132	../data/ddrs/316852/18.txt	316852	18	13292	3.4 
133	../data/ddrs/316852/22.txt	316852	22	13292	3.4 
134	../data/ddrs/316852/24.txt	316852	24	13292	3.5 
135	../data/ddrs/316852/27.txt	316852	27	13292	
136	../data/ddrs/316852/28.txt	316852	28	13292	3.4 
137	../data/ddrs/316852/30.txt	316852	30	13292	3.4 
138	../data/ddrs/316852/37.txt	316852	37	13292	3.4 
139	../data/ddrs/316852/42.txt	316852	42	13292	3.4 
140	../data/ddrs/316852/45.txt	316852	45	13292	3.4 
141	../data/ddrs/316852/47.txt	316852	47	13292	
142	../data/ddrs/316852/57.txt	316852	57	13292	3.4 
143	../data/ddrs/316852/7.txt	316852	7	13292	3.4 
144	../data/ddrs/316852/75.txt	316852	75	13292	34 
145	../data/ddrs/316852/81.txt	316852	81	13292	3.4 
146	../data/ddrs/316852/88.txt	316852	88	13292	34 
147	../data/ddrs/316852/9.txt	316852	9	13292	3.4 
148	../data/ddrs/316853/102.txt	316853	102	13526	
149	../data/ddrs/316853/14.txt	316853	14	13292	3.4  I 
150	../data/ddrs/316853/17.txt	316853	17	13292	3.4 
151	../data/ddrs/316853/26.txt	316853	26	13292	3.4 
152	../data/ddrs/316853/28.txt	316853	28	13292	3.4 
153	../data/ddrs/316853/31.txt	316853	31	13292	3.4 
154	../data/ddrs/316853/32.txt	316853	32	13292	3  10 
155	../data/ddrs/316853/33.txt	316853	33	13292	3.4 
156	../data/ddrs/316853/34.txt	316853	34	13292	3.4 
157	../data/ddrs/316853/35.txt	316853	35	13292	3.4 
158	../data/ddrs/316853/4.txt	316853	4	13292	3.4 
159	../data/ddrs/316853/40.txt	316853	40	13292	3.4 
160	../data/ddrs/316853/48.txt	316853	48	13292	3_ 
161	../data/ddrs/316853/49.txt	316853	49	13292	3A 
162	../data/ddrs/316853/50.txt	316853	50	13292	3.4 
